Date;Axe;Régularité composite;Ponctualité origine
2015-01;Nord;91.48514851;84.90566038
2015-01;Europe;90.27518034;75.4982415
2015-01;Atlantique;91.70792079;87.35303997
2015-01;Est;95.75983718;88.66866118
2015-01;Sud-Est;90.55282372;86.02098467
2015-02;Atlantique;88.80988658;85.29520295
2015-02;Nord;91.19338605;85.94827586
2015-02;Est;94.41529235;87.11276332
2015-02;Europe;88.64306785;73.45547507
2015-02;Sud-Est;90.53859677;85.76107568
2015-03;Atlantique;93.67824889;89.89966555
2015-03;Nord;92.14659686;87.9560612
2015-03;Sud-Est;93.48733234;88.37994214
2015-03;Est;94.57390146;87.85321101
2015-03;Europe;92.9749867;78.6185487
2015-04;Est;92.67624914;87.43356112
2015-04;Atlantique;92.82912286;87.88873531
2015-04;Europe;91.22954259;74.90832897
2015-04;Nord;89.58755916;84.94711147
2015-04;Sud-Est;88.36816226;85.44794588
2015-05;Est;95.24305556;87.0506378
2015-05;Nord;90.46487954;86.17586912
2015-05;Europe;90.97550494;74.6388443
2015-05;Sud-Est;89.37618746;85.25008506
2015-05;Atlantique;92.17418744;86.84119279
2015-06;Europe;88.17863398;75.43489721
2015-06;Nord;86.84210526;82.55060729
2015-06;Sud-Est;86.90364827;84.15189873
2015-06;Atlantique;86.43907065;81.89400521
2015-06;Est;92.62155729;85.93572779
2015-07;Est;91.68451106;83.70340999
2015-07;Europe;86.28113128;71.56959526
2015-07;Nord;88.07531381;83.08207705
2015-07;Sud-Est;82.46824526;80.10632825
2015-07;Atlantique;82.44761616;79.39149437
2015-08;Atlantique;88.96867838;83.90376144
2015-08;Est;95.34127844;86.30522088
2015-08;Europe;87.08133971;66.7184265
2015-08;Nord;89.19797688;84.79404032
2015-08;Sud-Est;87.16336075;82.96050332
2015-09;Est;94.21487603;85.53940321
2015-09;Atlantique;88.79974831;85.77616078
2015-09;Nord;90.97569098;86.76056338
2015-09;Europe;88.79818594;73.90374332
2015-09;Sud-Est;87.7557395;85.63657998
2015-10;Est;95.06502167;85.21674694
2015-10;Nord;91.24348958;85.93141076
2015-10;Sud-Est;89.43919537;86.08941333
2015-10;Atlantique;90.2762937;85.99831508
2015-10;Europe;92.04647006;78.0720339
2015-11;Europe;90.42357274;75.64032698
2015-11;Est;93.67657222;86.06965174
2015-11;Nord;88.74104401;85.39187526
2015-11;Atlantique;91.04501352;86.67016991
2015-11;Sud-Est;90.76393237;87.37682637
2015-12;OUIGO;95.28985507;83.0
2015-12;Est;95.8885491;88.18454614
2015-12;Nord;94.12173913;87.5797533
2015-12;Atlantique;92.40506329;86.08318891
2015-12;Europe;93.33333333;72.92696321
2015-12;Sud-Est;93.72751447;87.5
2016-01;Atlantique;92.38017872;88.56434767
2016-01;OUIGO;92.27373068;82.30088496
2016-01;Sud-Est;91.38906348;87.61459955
2016-01;Est;96.15921788;90.32009256
2016-01;Europe;92.40687679;77.12009106
2016-01;Nord;92.92358804;87.1899146
2016-02;Atlantique;92.39646979;88.0987746
2016-02;Sud-Est;91.26945127;86.1822087
2016-02;Nord;94.16869143;88.3248731
2016-02;Europe;90.59180577;78.23458283
2016-02;OUIGO;91.4893617;81.66666667
2016-02;Est;94.0314903;89.03278025
2016-03;Est;94.57937346;89.27322192
2016-03;Atlantique;89.76052849;86.10108303
2016-03;Europe;91.91674734;77.52873563
2016-03;Nord;91.70068027;85.3394419
2016-03;Sud-Est;92.04124376;86.90812721
2016-03;OUIGO;90.68181818;80.90909091
2016-04;Atlantique;90.46574418;85.76208178
2016-04;Europe;91.45090376;75.92910234
2016-04;OUIGO;89.78622328;79.80997625
2016-04;Sud-Est;92.85468911;85.04742421
2016-04;Est;92.85714286;86.61037394
2016-04;Nord;94.15405777;83.48700754
2016-05;Est;93.66269165;87.38049713
2016-05;Nord;92.00556135;84.79830149
2016-05;OUIGO;90.54054054;79.72972973
2016-05;Atlantique;87.50872296;83.77710156
2016-05;Europe;90.0329102;74.89010989
2016-05;Sud-Est;88.77858536;85.3695902
2016-06;Europe;85.45454545;66.68671076
2016-06;Est;91.50019585;83.40688438
2016-06;OUIGO;85.64356436;74.0
2016-06;Atlantique;83.24000772;80.80338266
2016-06;Nord;83.5035944;77.48837209
2016-06;Sud-Est;84.3510615;77.49241186
2016-07;Atlantique;86.54493032;81.72974885
2016-07;Sud-Est;85.02053205;80.52529183
2016-07;Est;93.78511236;85.05512454
2016-07;Europe;87.62146177;71.63412127
2016-07;OUIGO;86.31346578;71.52317881
2016-07;Nord;87.0601173;82.54252462
2016-08;Est;95.74022346;88.01619433
2016-08;Nord;90.54106656;85.36231884
2016-08;Atlantique;87.54596323;84.62623413
2016-08;Europe;91.23031077;73.75259875
2016-08;OUIGO;87.94642857;74.55357143
2016-08;Sud-Est;88.9170132;83.93962848
2016-09;Est;94.99632082;85.99830795
2016-09;Atlantique;84.29888084;85.45388919
2016-09;Nord;91.43526263;85.72570972
2016-09;OUIGO;93.13501144;81.00686499
2016-09;Europe;90.35714286;72.86652079
2016-09;Sud-Est;89.29754227;84.25137233
2016-10;Europe;88.80361174;72.76785714
2016-10;OUIGO;86.78414097;76.82119205
2016-10;Atlantique;85.01964637;83.93912265
2016-10;Nord;88.52892562;84.23742138
2016-10;Est;94.2795076;86.35225376
2016-10;Sud-Est;87.18523629;83.19517709
2016-11;Europe;88.61524164;74.85714286
2016-11;Nord;90.0;86.94762684
2016-11;Atlantique;80.72026801;80.55147059
2016-11;Sud-Est;85.4691689;83.61934477
2016-11;Est;94.41548771;87.4248927
2016-11;OUIGO;83.99071926;77.03016241
2016-12;OUIGO;85.84070796;78.53982301
2016-12;Sud-Est;89.53746373;84.31881372
2016-12;Europe;90.63620072;76.09539656
2016-12;Est;94.0822112;86.66117744
2016-12;Nord;90.28294862;86.82101514
2016-12;Atlantique;87.78171281;83.29225352
2017-01;Atlantique;89.86323411;83.47398031
2017-01;Europe;88.74321881;75.30795073
2017-01;OUIGO;86.94690265;77.00892857
2017-01;Est;91.69598874;83.11582382
2017-01;Sud-Est;89.21552159;84.62656733
2017-01;Nord;89.30555556;86.10997963
2017-02;Europe;91.65;78.92459827
2017-02;Sud-Est;91.13238216;85.07173323
2017-02;Atlantique;90.8134142;86.40077821
2017-02;OUIGO;91.89189189;79.06403941
2017-02;Est;94.20458965;87.84922395
2017-02;Nord;93.36870027;87.31707317
2017-03;Atlantique;90.82510354;86.99059561
2017-03;OUIGO;90.24390244;78.04878049
2017-03;Nord;90.06168609;86.48757017
2017-03;Est;94.44638491;88.09619238
2017-03;Sud-Est;91.76512079;84.47301773
2017-03;Europe;91.09452736;75.93158216
2017-04;Atlantique;89.20424865;85.03453569
2017-04;Nord;91.66059723;87.19693747
2017-04;Est;90.79528719;86.15384615
2017-04;Sud-Est;89.23893805;83.45077128
2017-04;OUIGO;89.74943052;76.48401826
2017-04;Europe;88.67151956;75.1399776
2017-05;Est;95.31914894;88.26425934
2017-05;OUIGO;88.24833703;78.22222222
2017-05;Nord;90.58073654;86.78232135
2017-05;Atlantique;87.61283852;83.92694064
2017-05;Europe;91.00436681;74.37971953
2017-05;Sud-Est;88.94146512;82.98676749
2017-06;Est;91.96363636;83.2147342
2017-06;Nord;87.40100792;83.65019011
2017-06;Sud-Est;84.74972992;78.46964669
2017-06;Atlantique;81.31886477;77.99963363
2017-06;Europe;87.69298633;70.28047465
2017-06;OUIGO;83.44827586;72.38979118
2017-07;Sud-Est;85.16483516;79.65428174
2017-07;Atlantique;81.0483871;78.18908585
2017-07;Est;91.32841328;82.90417898
2017-07;OUIGO;85.28571429;70.10014306
2017-07;Nord;89.54100828;84.94002665
2017-07;Europe;88.16394814;70.91653866
2017-08;Atlantique;87.61169166;80.92105263
2017-08;Europe;87.21578722;70.09391992
2017-08;Sud-Est;84.11753766;82.652858
2017-08;Nord;88.53451756;86.26373626
2017-08;Est;94.12196914;86.00840336
2017-08;OUIGO;84.69101124;69.29577465
2017-09;Europe;90.05795809;66.82879377
2017-09;Nord;89.19677306;85.90217838
2017-09;OUIGO;85.63134978;70.69970845
2017-09;Sud-Est;87.58833122;82.90480864
2017-09;Est;93.66852886;85.16320475
2017-09;Atlantique;87.58510792;80.95548671
2017-10;Sud-Est;89.48381452;83.79042936
2017-10;Nord;90.47294998;84.52665076
2017-10;Est;93.60632184;85.07030604
2017-10;Europe;91.15044248;74.54844007
2017-10;OUIGO;88.77980365;74.01685393
2017-10;Atlantique;89.18275959;82.00883002
2017-11;Europe;87.92866941;74.67348098
2017-11;Nord;87.16861082;83.89095415
2017-11;OUIGO;84.32510885;72.01166181
2017-11;Sud-Est;86.9886466;83.7045721
2017-11;Atlantique;88.07564602;83.0329599
2017-11;Est;93.14052651;84.10059676
2017-12;OUIGO;85.62019759;67.58241758
2017-12;Sud-Est;86.99775823;81.73652695
2017-12;Est;90.87936047;79.24302789
2017-12;Europe;87.55615454;71.92200557
2017-12;Atlantique;84.14959929;77.22425858
